code,name
212,江西南昌(炎皇盛世)
211,江西南昌(电信)
619,浙江杭州(天翼云)
4,浙江杭州(电信)
3,浙江杭州(联通)
96,浙江杭州(阿里云)
340,福建厦门(天翼云一区)
341,福建厦门(天翼云二区/BGP)
717,福建泉州(移动)
476,福建福州(天翼云)
97,广东中山(电信)
333,广东佛山(电信)
192,广东广州(bgp)
659,广东广州(上海云盾)
656,广东广州(华为云)
274,广东广州(天翼云二区)
567,广东广州(天翼云四区)
424,广东广州(移动)
381,广东广州(腾讯云)
641,广东广州(青云)
578,广东深圳(bgp)
729,广东深圳(momayun)
625,广东深圳(天翼云)
727,广东深圳(游戏宽带)
24,广东深圳(阿里云)
502,广东茂名(电信)
503,广东茂名(联通)
617,广西南宁(天翼云)
504,广西南宁(电信)
499,广西南宁(联通)
624,海南海口(天翼云)
707,台湾台中
257,台湾台中(中华电信)
252,台湾台中(亚太电信)
726,台湾台北(AllCloud)
285,台湾台北(cht.com.tw)
653,台湾台北(imcloud.tw)
256,台湾台北(远传电信)
289,台湾台南(cht.com.tw)
279,台湾彰化县(GCP)
516,台湾高雄
723,香港(AllCloud)
573,香港(GCP)
666,香港(UOVZ)
728,香港(amazon)
253,香港(cloudie.hk)
587,香港(dmit.io)
507,香港(hkbn@xtom.com)
708,香港(hkc)
681,香港(hostKVM)
699,香港(largebright.com)
458,香港(outsideheaven.com)
261,香港(redtone.hk)
664,香港(tggo)
436,香港(thinkxen.com)
515,香港(tinmok.com)
508,香港(xtom.com)
720,香港(yunlifang)
660,香港(华为云)
383,香港(腾讯云)
650,香港(蓝视云)
353,香港(阿里云)
149,香港(青云)
562,香港(飞碟云)
712,香港CN2(o136.com)
397,印度孟买(AMAZON-LIGHTSAIL)
489,印度孟买(Azure)
472,印度孟买(GCP)
721,印度孟买(linode)
595,印度孟买(腾讯云)
480,印度孟买(阿里云)
479,印度尼西亚雅加达(阿里云)
488,印度浦那(Azure)
94,印度浦那(leapswitch)
344,印度班加罗尔(DIGITALOCEAN-BLR1)
487,印度金奈(Azure)
670,哈萨克斯坦阿拉木图
38,新加坡
396,新加坡(AMAZON-LIGHTSAIL)
157,新加坡(DIGITALOCEAN)
429,新加坡(GCP)
357,新加坡(VULTR)
221,新加坡(gmo.jp)
684,新加坡(hostkvm)
291,新加坡(leaseweb.com)
216,新加坡(linode)
676,新加坡(华为云)
593,新加坡(腾讯云)
263,新加坡(阿里云)
395,日本东京(AMAZON-LIGHTSAIL)
725,日本东京(AllCloud)
425,日本东京(GCP)
665,日本东京(UOVZ)
147,日本东京(VULTR)
187,日本东京(dix.jp)
220,日本东京(gmo.jp)
683,日本东京(hostKVM)
592,日本东京(腾讯云)
359,日本东京(阿里云)
363,日本品川区(linode)
496,日本大阪(Azure)
731,日本大阪(GCP)
682,日本大阪(hostKVM)
129,日本大阪(k-opti.com)
678,日本神奈川县(ocn.ne.jp)
716,柬埔寨金边
280,柬埔寨金边(cambo.host)
602,泰国曼谷(zenlayer.com)
677,泰国曼谷(华为云)
517,泰国曼谷(腾讯云)
540,菲律宾马尼拉
297,越南河内市(greencloudvps.com)
215,越南胡志明市
633,越南胡志明市(vinahost.vn)
362,阿联酋迪拜(阿里云)
558,韩国首尔(AMAZON-LIGHTSAIL)
724,韩国首尔(AllCloud)
281,韩国首尔(gdsys.co.kr)
42,韩国首尔(starrydns.net)
719,韩国首尔(yunlifang)
354,韩国首尔(zhiduopc.com)
596,韩国首尔(腾讯云)
437,马来西亚吉隆坡(thinkxen.com)
478,马来西亚吉隆坡联邦直辖区(阿里云)
122,马来西亚赛城(controlvm.com)
607,新西兰奥克兰(globicom.co.nz)
494,澳大利亚墨尔本(Azure)
696,澳大利亚墨尔本(softlayer)
125,澳大利亚布里斯班
394,澳大利亚悉尼(AMAZON-LIGHTSAIL)
495,澳大利亚悉尼(Azure)
730,澳大利亚悉尼(DEDISERVE.COM)
426,澳大利亚悉尼(GCP)
109,澳大利亚悉尼(VULTR)
586,澳大利亚悉尼(oneprovider)
510,澳大利亚悉尼(xtom.com)
364,澳大利亚悉尼(阿里云)
159,澳大利亚珀斯
138,澳大利亚阿德莱德
140,丹麦哥本哈根(oneprovider)
534,乌克兰哈尔科夫
84,乌克兰基辅(deltahost.ua)
539,乌克兰第聂伯罗(netengi.ua)
715,以色列特拉维夫
457,俄罗斯伯力(misaka.io)
652,俄罗斯喀山
407,俄罗斯圣彼得堡(misaka.io)
141,俄罗斯圣彼得堡(veesp.com)
232,俄罗斯莫斯科(dtln.ru)
378,俄罗斯莫斯科(ntx.ru)
512,俄罗斯莫斯科(selectel.ru)
518,俄罗斯莫斯科(腾讯云)
644,俄罗斯车里雅宾斯克
330,保加利亚瓦尔纳(quadhost.net)
102,保加利亚索非亚(oneprovider)
93,匈牙利布达佩斯(serverastra.com)
645,卢森堡卢森堡(gcore.lu)
709,土耳其伊斯坦布尔
112,土耳其伊斯坦布尔(citynethost.com)
418,土耳其伊斯坦布尔(sh.com.tr)
569,奥地利维也纳
550,德国杜塞尔多夫(myloc.de)
393,德国法兰克福(AMAZON-LIGHTSAIL)
209,德国法兰克福(DIGITALOCEAN-FRA1)
431,德国法兰克福(GCP)
120,德国法兰克福(VULTR)
373,德国法兰克福(host1plus.com)
250,德国法兰克福(linode)
697,德国法兰克福(softlayer)
590,德国法兰克福(腾讯云)
361,德国法兰克福(阿里云)
142,德国纽伦堡(core-backbone.com)
179,意大利巴勒莫(nashirnet.com)
81,意大利米兰
575,意大利米兰(oneprovider)
237,意大利米兰(softlayer)
535,拉脱维亚里加(itldc.com)
630,拉脱维亚里加(makonix.com)
570,挪威奥斯陆
693,挪威奥斯陆(softlayer)
604,挪威奥斯陆(tdc.no)
248,挪威桑讷菲尤尔(oneprovider)
651,捷克捷克(park-web.ru)
521,摩尔多瓦基希讷乌(mivocloud.com)
128,摩尔多瓦基希讷乌(trabia.com)
311,比利时圣吉斯兰(GCP)
376,比利时布鲁塞尔(m247.com)
559,法国巴黎(AMAZON-LIGHTSAIL)
485,法国巴黎(Azure)
82,法国巴黎(VULTR)
268,法国巴黎(online.net)
698,法国巴黎(softlayer)
374,法国斯特拉斯堡(cloudradium.com)
706,法国斯特拉斯堡(ovh.com)
244,法国里尔
627,法国鲁贝
598,波兰华沙(ovh.com)
398,爱尔兰都柏林(AMAZON-LIGHTSAIL)
106,爱尔兰都柏林(webworld.ie)
139,爱沙尼亚塔林(wavecom.ee)
135,瑞典哥德堡(makonix.com)
111,瑞典斯德哥尔摩(hosthatch.com)
646,瑞典法尔肯贝里(glesys.se)
65,瑞士提契诺州(privatelayer.com)
732,瑞士苏黎世(GCP)
574,瑞士苏黎世(oneprovider)
671,白俄罗斯明斯克(it-grad.ru)
92,立陶宛希奥利艾(cherryservers.com)
76,罗马尼亚布加勒斯特(m247.com)
542,芬兰哈米纳(GCP)
603,芬兰艾斯堡(mediam.fi)
628,芬兰赫尔辛基(firstbyte.ru)
399,英国伦敦(AMAZON-LIGHTSAIL)
483,英国伦敦(Azure)
214,英国伦敦(DIGITALOCEAN-LON1)
430,英国伦敦(GCP)
121,英国伦敦(VULTR)
417,英国伦敦(clouvider.net)
548,英国伦敦(hostslick.com)
165,英国伦敦(linode)
694,英国伦敦(softlayer)
571,英国伦敦(阿里云)
492,英国加的夫(Azure)
117,英国曼彻斯特(loveservers.com)
473,荷兰埃姆斯哈文(GCP)
493,荷兰阿姆斯特丹(Azure)
35,荷兰阿姆斯特丹(DIGITALOCEAN-AMS1)
205,荷兰阿姆斯特丹(DIGITALOCEAN-AMS2)
206,荷兰阿姆斯特丹(DIGITALOCEAN-AMS3)
46,荷兰阿姆斯特丹(VULTR)
605,荷兰阿姆斯特丹(hosthatch.com)
695,荷兰阿姆斯特丹(softlayer)
213,葡萄牙里斯本
127,葡萄牙里斯本(ptisp.pt)
713,西班牙塞维利亚(edis.at)
238,西班牙马德里(ginernet)
672,西班牙马德里(m247.com)
377,西班牙马德里(oneprovider)
673,西班牙马拉加
491,加拿大多伦多(Azure)
273,加拿大多伦多(DIGITALOCEAN-TOR1)
643,加拿大多伦多(VULTR)
679,加拿大多伦多(linode)
422,加拿大多伦多(腾讯云)
269,加拿大温哥华(cogentco.com)
110,加拿大温哥华(pretecs.com)
560,加拿大蒙特利尔(AMAZON-LIGHTSAIL)
506,加拿大蒙特利尔(GCP)
490,加拿大魁北克市(Azure)
226,哥斯达黎加圣何塞
167,墨西哥克雷塔罗(softlayer)
55,美国丹佛(meanservers.com)
158,美国亚特兰大(VULTR)
182,美国亚特兰大(linode)
170,美国俄克拉荷马城(kvchosting.net)
606,美国凤凰城(eonix.net)
482,美国博伊顿(Azure)
711,美国圣何塞(BGP)
162,美国圣何塞(VULTR)
686,美国圣何塞(hostKVM)
689,美国圣何塞(softlayer)
591,美国圣何塞(腾讯云)
498,美国圣克拉拉(Azure)
358,美国圣克拉拉(centurylink.com)
168,美国圣克拉拉(阿里云)
497,美国圣安东尼奥(Azure)
64,美国堪萨斯城(nocix.net)
59,美国夏洛特(hostus.us)
278,美国康瑟尔布拉夫斯(GCP)
484,美国得梅因(Azure)
687,美国拉斯维加斯(buyvm.net)
360,美国斯特灵(阿里云)
49,美国旧金山(DIGITALOCEAN-SFO1)
555,美国旧金山(DIGITALOCEAN-SFO2)
599,美国本德(iwfhosting)
639,美国杰克逊维尔(nodesdirect.com)
60,美国波士顿(axcelx.com)
391,美国波特兰(AMAZON-LIGHTSAIL)
107,美国波特兰(directspace.net)
334,美国洛杉矶
400,美国洛杉矶(66.to)
541,美国洛杉矶(GCP)
667,美国洛杉矶(UOVZ)
265,美国洛杉矶(VULTR)
685,美国洛杉矶(hostKVM)
119,美国洛杉矶(hostspaces.net)
233,美国洛杉矶(komputerking.com)
637,美国洛杉矶(multacom.com)
710,美国洛杉矶(o136.com)
266,美国洛杉矶(quadranet.com)
355,美国洛杉矶(runidc.com)
509,美国洛杉矶(xtom.com)
718,美国洛杉矶(yunlifang)
295,美国洛杉矶(zbusa.com)
347,美国洛杉矶(zenlayer.com)
262,美国洛杉矶(zhongtong.com.hk)
296,美国洛杉矶(智博网络)
561,美国洛杉矶(飞碟云)
203,美国皮斯卡特维(VULTR)
116,美国盐湖城(uk2group.com)
222,美国纽瓦克(linode)
260,美国纽约(DIGITALOCEAN-NYC1)
86,美国纽约(DIGITALOCEAN-NYC2)
204,美国纽约(DIGITALOCEAN-NYC3)
632,美国绍斯菲尔德(a2hosting.com)
514,美国芝加哥(Azure)
95,美国芝加哥(VULTR)
53,美国芝加哥(colocrossing.com)
432,美国蒙克斯科纳(GCP)
600,美国蒙蒂塞洛(iwfhosting)
72,美国西雅图(VULTR)
692,美国西雅图(softlayer)
547,美国费利蒙(10vpn.net)
56,美国费利蒙(linode)
310,美国达尔斯(GCP)
103,美国达拉斯(VULTR)
225,美国达拉斯(conseev.com)
722,美国达拉斯(linode)
52,美国达拉斯(quadranet.com)
688,美国达拉斯(softlayer)
69,美国迈阿密(VULTR)
25,美国迈阿密(quadranet.com)
390,美国都柏林(AMAZON-LIGHTSAIL)
365,美国阿什本(AMAZON-LIGHTSAIL)
428,美国阿什本(GCP)
410,美国阿什本(misaka.io)
690,美国阿什本(softlayer)
594,美国阿什本(腾讯云)
73,巴西圣保罗
151,巴西圣保罗(AMAZON)
427,巴西圣保罗(GCP)
691,巴西圣保罗(softlayer)
486,巴西坎皮纳斯(Azure)
208,阿根廷布宜诺斯艾利斯(latincloud.com)
48,南非开普敦(1-grid.com)
123,南非约翰内斯堡
654,南非约翰内斯堡(Azure)
402,南非约翰内斯堡(oneprovider)
705,南非约翰内斯堡(华为云)
566,尼日利亚拉各斯
I,ICMP
T,TCP
